Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Honduras,Inflation Rate,1994-06-30T00:00:00,21.82,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1994-07-31T00:00:00,21.49,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1994-08-31T00:00:00,22.7,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1994-09-30T00:00:00,24.23,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1994-10-31T00:00:00,25.5,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1994-11-30T00:00:00,28.15,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1994-12-31T00:00:00,28.93,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1995-01-31T00:00:00,30.8,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1995-02-28T00:00:00,33.22,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1995-03-31T00:00:00,33.76,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1995-04-30T00:00:00,33.48,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1995-05-31T00:00:00,30.76,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1995-06-30T00:00:00,29.35,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1995-07-31T00:00:00,27.6,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1995-08-31T00:00:00,26.54,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1995-09-30T00:00:00,28.37,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1995-10-31T00:00:00,28.53,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1995-11-30T00:00:00,26.41,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1995-12-31T00:00:00,26.79,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1996-01-31T00:00:00,23.87,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1996-02-29T00:00:00,21.39,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1996-03-31T00:00:00,21.56,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1996-04-30T00:00:00,20.96,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1996-05-31T00:00:00,21.28,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1996-06-30T00:00:00,23.19,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1996-07-31T00:00:00,24.34,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1996-08-31T00:00:00,26.24,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1996-09-30T00:00:00,25.72,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1996-10-31T00:00:00,25.24,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1996-11-30T00:00:00,25.96,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1996-12-31T00:00:00,25.43,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1997-01-31T00:00:00,27.35,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1997-02-28T00:00:00,26.83,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
