,Country,Cumulative Inflation,Cumulative Devaluation,Adj. Factor
0,Brazil,2.6804399447986924,1.516248366013072,1.7678106073392357
1,Colombia,2.0286811617118756,1.2763013321749201,1.5895001521739696
2,Indonesia,2.686708414719857,1.6381172665387942,1.6401197091320872
3,Vietnam,3.2043638225104862,1.5514294606731582,2.0654266943726385
4,Guatemala,2.2826759343935916,0.9475021097046411,2.4091512947714238
5,Ethiopia,8.516745842705841,3.2620730158730162,2.610838507067119
